# tilts -0.0114374830026, 0.00372502737393, -0.01358062 
# flexure radio, 0.00549382, -0.01758231 
# collimate_fixed radio, 0.038370833, -0.21753544 
# Name, R.A. [deg], dec. [deg], MJD, Az [deg], El [deg], Xoff TC [arcmin], Xoff GN [arcmin], Yoff TC [arcmin], Yoff GN [arcmin], RA_off TC [arcmin], RA_off GN [arcmin], dec_off TC [arcmin], dec_off GN [arcmin]
J1617-5848, 244.3245, -58.8022, 58141.6046, 308.7868, 58.8530, -0.700, -0.715, -0.925, -0.875,  1.351,  1.380, -0.925, -0.875, 
J0904-5735, 136.2216, -57.5849, 58141.6209, 194.5801, 57.6567, -0.625, -0.670, -0.725, -0.645,  1.166,  1.250, -0.725, -0.645, 
J1329-5608, 202.2548, -56.1341, 58141.6370, 254.9654, 56.2273, -0.600, -0.635, -0.425, -0.390,  1.077,  1.140, -0.425, -0.390, 
J1326-5256, 201.7051, -52.9399, 58141.6516, 249.1267, 53.0339, -0.575, -0.615, -0.125, -0.030,  0.954,  1.020, -0.125, -0.030, 
J0210-5101, 032.6925, -51.0172, 58141.6660, 074.8028, 50.9523, -0.700, -0.740,  0.025,  0.060,  1.113,  1.176,  0.025,  0.060, 
J2235-4835, 338.8052, -48.5997, 58141.6812, 015.5444, 48.5294, -0.750, -0.785, -0.100, -0.075,  1.134,  1.187, -0.100, -0.075, 
J1107-4449, 166.7862, -44.8188, 58141.6962, 198.0376, 44.9180, -0.575, -0.580, -0.175, -0.165,  0.811,  0.818, -0.175, -0.165, 
J1427-4206, 216.9846, -42.1054, 58141.7114, 242.8176, 42.1904, -0.475, -0.480, -0.025, -0.040,  0.640,  0.647, -0.025, -0.040, 
J0522-3627, 080.7416, -36.4586, 58141.7256, 101.3356, 36.4629, -0.550, -0.560, -0.125, -0.110,  0.684,  0.696, -0.125, -0.110, 
J1626-2951, 246.5251, -29.8575, 58141.7400, 262.0325, 29.9144, -0.425, -0.420,  0.300,  0.290,  0.490,  0.484,  0.300,  0.290, 
J1037-2934, 159.3170, -29.5674, 58141.7540, 169.7289, 29.6736, -0.425, -0.395, -0.450, -0.415,  0.489,  0.454, -0.450, -0.415, 
J2258-2758, 344.5248, -27.9726, 58141.7829, 344.5282, 27.9114, -0.450, -0.480,  0.200,  0.100,  0.510,  0.543,  0.200,  0.100, 
J1337-1257, 204.4158, -12.9569, 58141.8840, 167.9025, 13.0905, -0.450, -0.470, -0.900, -0.915,  0.462,  0.482, -0.900, -0.915, 
J1107-4449, 166.7862, -44.8188, 58142.5591, 246.5317, 44.9231, -0.500, -0.435, -0.025,  0.030,  0.705,  0.613, -0.025,  0.030, 
J1427-4206, 216.9846, -42.1054, 58142.5729, 291.8308, 42.1979, -0.500, -0.505,  0.125,  0.155,  0.674,  0.681,  0.125,  0.155, 
J0522-3627, 080.7416, -36.4586, 58142.5872, 150.3373, 36.4570, -0.475, -0.465, -0.025,  0.150,  0.591,  0.578, -0.025,  0.150, 
J1626-2951, 246.5251, -29.8575, 58142.6015, 311.0472, 29.9216, -0.350, -0.350,  0.000,  0.010,  0.404,  0.404,  0.000,  0.010, 
J1037-2934, 159.3170, -29.5674, 58142.6155, 218.7445, 29.6755, -0.425, -0.425, -0.100, -0.090,  0.489,  0.489, -0.100, -0.090, 
J0453-2807, 073.3110, -28.1270, 58142.6294, 127.6798, 28.1216, -0.500, -0.585, -0.100, -0.130,  0.567,  0.663, -0.100, -0.130, 
J2258-2758, 344.5248, -27.9726, 58142.6443, 033.5580, 27.9104, -0.550, -0.550, -0.100, -0.090,  0.623,  0.623, -0.100, -0.090, 
J0450-8101, 072.5227, -81.0173, 58142.7094, 097.5480, 80.9942, -1.575, -1.565, -0.200, -0.105, 10.087, 10.023, -0.200, -0.105, 
J1058-8003, 164.6805, -80.0650, 58142.7354, 180.7155, 80.1511, -1.525, -1.540, -0.100, -0.095,  8.839,  8.926, -0.100, -0.095, 
J1147-6753, 176.8892, -67.8949, 58142.7560, 185.5808, 67.9867, -1.100, -1.180,  0.025,  0.180,  2.923,  3.136,  0.025,  0.180, 
J1337-1257, 204.4158, -12.9569, 58142.8341, 184.9364, 13.0910, -0.525, -0.540, -0.600, -0.600,  0.539,  0.554, -0.600, -0.600, 
J0609-1542, 092.4206, -15.7113, 58143.4304, 217.6562, 15.7571, -0.575, -0.570, -0.725, -0.705,  0.597,  0.592, -0.725, -0.705, 
J0730-1141, 112.5796, -11.6868, 58143.4430, 233.2896, 11.7828, -0.675, -0.675, -0.900, -0.900,  0.689,  0.689, -0.900, -0.900, 
J1733-1304, 263.2613, -13.0804, 58143.4562, 019.2233, 13.1526, -0.500, -0.510, -0.725, -0.720,  0.513,  0.524, -0.725, -0.720, 
J2246-1206, 341.5760, -12.1142, 58143.4690, 092.8891, 12.0793, -0.550, -0.565, -0.200, -0.220,  0.563,  0.578, -0.200, -0.220, 
